"","latitude","longitude","Postal address","Postcode","Industry/Sectors","Premises Name"
"Inverness Disability Assessment Centre","57.48","-4.23","2 Baron Taylor's Street, Inverness","IV1 1QL","Privatisation, Welfare","Inverness Disability Assessment Centre"
"Islay Disability Assessment Centre","55.76","-6.28","Islay Hospital, Gortan Vogie Road, Bowmore, Isle of Islay","PA43 7JD","Privatisation, Welfare","Islay Disability Assessment Centre"
"Kirkcaldy Disability Assessment Centre","56.12","-3.16","Government Buildings, 26 Victoria Road, Kirkcaldy","KY1 1EA","Privatisation, Welfare","Kirkcaldy Disability Assessment Centre"
"Kirkwall Disability Assessment Centre","58.98","-2.96","Outpatient Department, Balfour Hospital, Kirkwall Hospital, Orkney","KW15 1BH","Privatisation, Welfare","Kirkwall Disability Assessment Centre"
"Lerwick Disability Assessment Centre","60.16","-1.15","Market House, 14 Market Street, Lerwick","ZE1 0JP","Privatisation, Welfare","Lerwick Disability Assessment Centre"
"Lossiemouth Disability Assessment Centre","57.72","-3.31","Moray Coast, Medical Practice, Muirton Road, Lossiemouth, Moray","IV31 6TU","Privatisation, Welfare","Lossiemouth Disability Assessment Centre"
"Montrose Disability Assessment Centre","56.71","-2.46","Links Health Centre, Marine Avenue, Montrose","DD10 8TR","Privatisation, Welfare","Montrose Disability Assessment Centre"
"Newton Stewart Disability Assessment Centre","54.96","-4.48","Health Centre, Creebridge, Newton Stewart","DG8 6NP","Privatisation, Welfare","Newton Stewart Disability Assessment Centre"
"Perth Disability Assessment Centre","56.39","-3.44","Caledonian Road Medical Centre, Caledonian Road, Perth","PH2 8HH","Privatisation, Welfare","Perth Disability Assessment Centre"
"Portree Disability Assessment Centre","57.41","-6.19","Portree Hospital, Portree, Skye","IV51 9BZ","Privatisation, Welfare","Portree Disability Assessment Centre"
"Stirling Disability Assessment Centre","56.11","-3.94","Government Buildings, 2 St Ninians Road, Stirling","FK8 2HF","Privatisation, Welfare","Stirling Disability Assessment Centre"
"Stornoway Disability Assessment Centre","58.21","-6.37","The Group Practice Health Centre, Springfield Road, Stornoway, Isle of Lewis","HS1 2PS","Privatisation, Welfare","Stornoway Disability Assessment Centre"
"Thurso Disability Assessment Centre","58.58","-3.54","Dunbar Hospital, Ormlie Road, Thurso","KW14 7XE","Privatisation, Welfare","Thurso Disability Assessment Centre"
"Wick Disability Assessment Centre","58.44","-3.09","Wick Medical Centre, Martha Terrace, Wick","KW1 5EL","Privatisation, Welfare","Wick Disability Assessment Centre"
"Barnstaple Disability Assessment Centre","51.08","-4.06","Barnstaple Jobcentre Plus, First Floor, Princess House, Queen Street, Barnstaple","EX32 8HD","Privatisation, Welfare","Barnstaple Disability Assessment Centre"
"Bournemouth Disability Assessment Centre","50.72","-1.86","Jobcentre Plus, Tamarisk House, 1 Cotlands Road, Bournemouth","BH1 3BG","Privatisation, Welfare","Bournemouth Disability Assessment Centre"
"Bristol Disability Assessment Centre","51.43","-2.54","Government Buildings, Flowers Hill, Brislington, Bristol","BS4 5LA","Privatisation, Welfare","Bristol Disability Assessment Centre"
"Exeter Disability Assessment Centre","50.72","-3.47","Unit 4, Ground Floor, Killerton House, Park Five Harrier Way, Exeter","EX2 7HU","Privatisation, Welfare","Exeter Disability Assessment Centre"
"Gloucester Disability Assessment Centre","51.86","-2.25","Cedar House, Spa Road, Gloucester","GL1 1XL","Privatisation, Welfare","Gloucester Disability Assessment Centre"
"Launceston Disability Assessment Centre","50.63","-4.36","Launceston General Hospital, Link Road, Launceston, Cornwall","PL15 9JD","Privatisation, Welfare","Launceston Disability Assessment Centre"
"Plymouth Disability Assessment Centre","50.39","-4.08","Argosy House, Longbridge Road, Plympton, Plymouth","PL6 8LS","Privatisation, Welfare","Plymouth Disability Assessment Centre"
"Salisbury Disability Assessment Centre","51.07","-1.80","Summerlock House, Summerlock Approach, Salisbury","SP2 7RW","Privatisation, Welfare","Salisbury Disability Assessment Centre"
"Swindon Disability Assessment Centre","51.56","-1.78","Spring Gardens House, Princes Street, Swindon","SN1 2HY","Privatisation, Welfare","Swindon Disability Assessment Centre"
"Taunton Disability Assessment Centre","51.01","-3.10","Quantock House, Paul Street, Taunton, Somerset","TA1 3NX","Privatisation, Welfare","Taunton Disability Assessment Centre"
"Truro Disability Assessment Centre","50.27","-5.05","Pydar House, Pydar Street, Truro, Cornwall","TR1 2XD","Privatisation, Welfare","Truro Disability Assessment Centre"
"Weston-Super-Mare Disability Assessment Centre","51.35","-2.98","Regent House, Oxford Place, Somerset","BS23 1JH","Privatisation, Welfare","Weston-Super-Mare Disability Assessment Centre"
"Weymouth Disability Assessment Centre","50.61","-2.46","3rd Floor, Westwey House, Westwey Road, Weymouth, Dorset","DT4 8TG","Privatisation, Welfare","Weymouth Disability Assessment Centre"
"Yeovil Disability Assessment Centre","50.94","-2.64","44 Hendford, Yeovil, Somerset","BA20 1UW","Privatisation, Welfare","Yeovil Disability Assessment Centre"
"Aylesbury Disability Assessment Centre","51.82","-0.84","Oxford House, 3 Bell Business Park, Smeaton Close, Aylesbury","HP19 8JR","Privatisation, Welfare","Aylesbury Disability Assessment Centre"
"Brighton Disability Assessment Centre","50.82","-0.15","Lower Ground Floor West, Lees House, 21-35 Dyke Road, Brighton","BN1 3GD","Privatisation, Welfare","Brighton Disability Assessment Centre"
"Canterbury Disability Assessment Centre","51.28","1.09","Nutwood House, Chaucer Road, Canterbury, Kent","CT1 1ZZ","Privatisation, Welfare","Canterbury Disability Assessment Centre"
"Chatham Disability Assessment Centre","51.38","0.53","1A Batchelor Street, Chatham, Kent","ME4 4BJ","Privatisation, Welfare","Chatham Disability Assessment Centre"
"Guildford Disability Assessment Centre","51.24","-0.58","Leys House, 86-88 Woodbridge Road, Guildford, Surrey","GU1 4QD","Privatisation, Welfare","Guildford Disability Assessment Centre"
"Hastings Disability Assessment Centre","50.86","0.58","7-8 Queens Road, Hastings, East Sussex","TN34 1QP","Privatisation, Welfare","Hastings Disability Assessment Centre"
"Milton Keynes Disability Assessment Centre","52.04","-0.76","Lower Ground Floor, 399 Silbury Boulevard, Gloucester House, Milton Keynes","MK9 2AH","Privatisation, Welfare","Milton Keynes Disability Assessment Centre"
"Newport (Isle of Wight) Disability Assessment Centre","50.70","-1.29","Broadlands House, Staplers Road, Newport, IOW","PO30 2HX","Privatisation, Welfare","Newport (Isle of Wight) Disability Assessment Centre"
"Oxford Disability Assessment Centre","51.75","-1.26","Ground Floor, 59 St Aldate's Road, Oxford","OX1 1ST","Privatisation, Welfare","Oxford Disability Assessment Centre"
"Portsmouth Disability Assessment Centre","50.80","-1.09","1st Floor, 316  334 Wingfield House, Commercial Road, Portsmouth","PO1 4TA","Privatisation, Welfare","Portsmouth Disability Assessment Centre"
"Reading Disability Assessment Centre","51.46","-0.98","Eaton Court (Eaton Place entrance), 104-112 Oxford Road, Reading","RG1 7LL","Privatisation, Welfare","Reading Disability Assessment Centre"
"Southampton Disability Assessment Centre","50.90","-1.40","Block A, Richmond House (college street entrance), Terminus Terre, Southampton","SO14 3PS","Privatisation, Welfare","Southampton Disability Assessment Centre"
"Aberystwyth Disability Assessment Centre","52.41","-4.08","Old Welsh School, Alexandra Road, Aberystwyth","SY23 1LG","Privatisation, Welfare","Aberystwyth Disability Assessment Centre"
"Bangor Disability Assessment Centre","53.23","-4.12","Ty Glyder, 339 High Street, Bangor","LL57 1EP","Privatisation, Welfare","Bangor Disability Assessment Centre"
"Brecon Disability Assessment Centre","51.95","-3.38","Breconshire Memorial Hospital, Cerrigcochion Road, Brecon, Powys","LD3 7NS","Privatisation, Welfare","Brecon Disability Assessment Centre"
"Bridgend Disability Assessment Centre","51.50","-3.58","Crown Buildings, Angel Street, Bridgend","CF31 4AA","Privatisation, Welfare","Bridgend Disability Assessment Centre"
"Cardiff Disability Assessment Centre","51.51","-3.20","Block 2, Government Buildings, St Agnes Road, Gabalfa, Cardiff","CF14 4YJ","Privatisation, Welfare","Cardiff Disability Assessment Centre"
"Cardigan Disability Assessment Centre","52.08","-4.66","Outpatients Department, Cardigan and District Memorial Hospital, Cardigan, Dyfed","SA43 1DP","Privatisation, Welfare","Cardigan Disability Assessment Centre"
"Carmarthen Disability Assessment Centre","51.86","-4.31","3 Red Street, Carmarthen","SA31 1QL","Privatisation, Welfare","Carmarthen Disability Assessment Centre"
"Colwyn Bay Disability Assessment Centre","53.30","-3.73","Colwyn Bay Jobcentre Plus, Coed Pella Road, Colwyn Bay","LL29 8LR","Privatisation, Welfare","Colwyn Bay Disability Assessment Centre"
"Dolgellau Disability Assessment Centre","52.74","-3.88","Dolgellau and District Hospital, Outpatients Clinic, Dolgellau, Gwynedd","LL40 1NT","Privatisation, Welfare","Dolgellau Disability Assessment Centre"
"Haverfordwest Disability Assessment Centre","51.80","-4.97","Winch Lane Surgery, Haverfordwest","SA61 1RN","Privatisation, Welfare","Haverfordwest Disability Assessment Centre"
"Llandrindod Wells Disability Assessment Centre","52.24","-3.38","Community Health Service, The Annexe, Llanrindod Wells Memorial Hospital, Llandrindod Wells, Powys","LD1 5HF","Privatisation, Welfare","Llandrindod Wells Disability Assessment Centre"
"Newport Disability Assessment Centre","51.58","-2.99","4-5 Kingsway, Newport","NP20 1EX","Privatisation, Welfare","Newport Disability Assessment Centre"
"Newtown Disability Assessment Centre","52.51","-3.31","St Davids Business Centre LTD, St Davids House, New Road, Newtown, Powys","SY16 1RB","Privatisation, Welfare","Newtown Disability Assessment Centre"
"Pontillanfraith Disability Assessment Centre","51.66","-3.18","The Ennisclare Clinic, Llanarth Road, Pontllanfraith","NP12 2LG","Privatisation, Welfare","Pontillanfraith Disability Assessment Centre"
"Pontypridd Disability Assessment Centre","51.60","-3.34","6 Gelliwastad Road, Pontypridd","CF37 2BP","Privatisation, Welfare","Pontypridd Disability Assessment Centre"
"Swansea Disability Assessment Centre","51.62","-3.94","4th Floor, Grove House, Grove Place, Swansea","SA1 5DF","Privatisation, Welfare","Swansea Disability Assessment Centre"
"Tredegar Disability Assessment Centre","51.77","-3.24","Masonic Buildings, Morgan Street, Tredegar","NP22 3NA","Privatisation, Welfare","Tredegar Disability Assessment Centre"
"Tremadog Disability Assessment Centre","52.94","-4.15","Ysbyty Alltwen, Tremadog","LL49 9AQ","Privatisation, Welfare","Tremadog Disability Assessment Centre"
"Wrexham Disability Assessment Centre","53.05","-3.00","Ty Maelor, 15-17 Grosvenor Road, Wrexham","LL11 1BW","Privatisation, Welfare","Wrexham Disability Assessment Centre"
"Birmingham Disability Assessment Centre","52.47","-1.92","Five Ways House, Islington Row Middleway, Edgbaston, Birmingham","B15 1SL","Privatisation, Welfare","Birmingham Disability Assessment Centre"
"Coventry Disability Assessment Centre","52.40","-1.51","Cofa Court, Cheylesmore Road, Coventry","CV1 2HJ","Privatisation, Welfare","Coventry Disability Assessment Centre"
"Hereford Disability Assessment Centre","52.06","-2.72","Broadway House, Aubrey Street, Hereford","HR4 0BU","Privatisation, Welfare","Hereford Disability Assessment Centre"
"Shrewsbury Disability Assessment Centre","52.71","-2.74","Whitehall, Monkmoor Road, Shrewsbury","SY2 5AP","Privatisation, Welfare","Shrewsbury Disability Assessment Centre"
"Stoke Disability Assessment Centre","53.03","-2.19","Ridgehouse Drive, Festival Park, Stoke on Trent","ST1 5SJ","Privatisation, Welfare","Stoke Disability Assessment Centre"
"Wolverhampton Disability Assessment Centre","52.59","-2.13","Ground Floor & First Floor, 15-17 Pearl Assurance House, Waterloo Road, Wolverhampton","WV1 4DJ","Privatisation, Welfare","Wolverhampton Disability Assessment Centre"
"Worcester Disability Assessment Centre","52.20","-2.22","Vine House, Farrier Street, Worcester","WR1 3EL","Privatisation, Welfare","Worcester Disability Assessment Centre"
"Barnsley Disability Assessment Centre","53.55","-1.48","3rd Floor, Joseph Locke House, Heelis Street, Barnsley","S70 1LW","Privatisation, Welfare","Barnsley Disability Assessment Centre"
"Bradford Disability Assessment Centre","53.79","-1.75","Wool Exchange Buildings, 22 Bank Street, Bradford","BD1 1PR","Privatisation, Welfare","Bradford Disability Assessment Centre"
"Castleford Disability Assessment Centre","53.73","-1.35","Bridge House, Wheldon Road, Castleford","WF10 2JG","Privatisation, Welfare","Castleford Disability Assessment Centre"
"Doncaster Disability Assessment Centre","53.52","-1.13","Crossgate House, Wood Street, Doncaster","DN1 3LL","Privatisation, Welfare","Doncaster Disability Assessment Centre"
"Grimsby Disability Assessment Centre","53.57","-0.07","76b Cleethorpes Road, Grimsby","DN31 3EH","Privatisation, Welfare","Grimsby Disability Assessment Centre"
"Halifax Disability Assessment Centre","53.72","-1.86","Jobcentre Plus Building, Crossfield House, St James Road, Halifax","HX1 1PE","Privatisation, Welfare","Halifax Disability Assessment Centre"
"Huddersfield Disability Assessment Centre","53.65","-1.78","Ground Floor (Jobcentre Plus entrance), Crown House, Southgate, Huddersfield","HD1 1QX","Privatisation, Welfare","Huddersfield Disability Assessment Centre"
"Hull Disability Assessment Centre","53.75","-0.36","Stanley Street, Spring Bank, Hull","HU3 1JP","Privatisation, Welfare","Hull Disability Assessment Centre"
"Keighley Disability Assessment Centre","53.86","-1.91","2nd Floor, Worth House, Worth Way, Low Street, Keighley","BD21 5LR","Privatisation, Welfare","Keighley Disability Assessment Centre"
"Leeds Disability Assessment Centre","53.85","-1.59","Block 2, Government Buildings, Otley Road, Leeds","LS16 5PU","Privatisation, Welfare","Leeds Disability Assessment Centre"
"Pontefract Disability Assessment Centre","53.69","-1.31","Ground Floor, Challand House, Liquorice Way, Pontefract","WF8 1DR","Privatisation, Welfare","Pontefract Disability Assessment Centre"
"Scarborough Disability Assessment Centre","54.28","-0.41","Arundel House, Arundel Place, Westborough, Scarborough","YO11 1TX","Privatisation, Welfare","Scarborough Disability Assessment Centre"
"Sheffield Disability Assessment Centre","53.38","-1.47","1 Hartshead Square, Sheffield","S1 2FD","Privatisation, Welfare","Sheffield Disability Assessment Centre"
"York Disability Assessment Centre","53.96","-1.08","60 St. Denys Road, York","YO1 9QD","Privatisation, Welfare","York Disability Assessment Centre"
"Ministry of Defence","51.51","-0.13","Main Building, Whitehall, London","SW1A 2HB","Privatisation, Defence","Ministry of Defence"
"United Kingdom Hydrographic Office","51.02","-3.08","Admiralty Way, Taunton Somerset","TA1 2DN","Privatisation, Defence","United Kingdom Hydrographic Office"
"Department of Health","51.50","-0.13","Richmond House, 79 Whitehall, London","SW1A 2NS","Privatisation, Healthcare","Department of Health"
"HM Revenue and Customs","51.53","-0.14","Euston Tower, 286 Euston Road, London","NW1 3UL","Privatisation","HM Revenue and Customs"
"Government Gateway","51.50","-0.13","10 Downing Street, London","SW1A 2AA","Privatisation, Welfare","Government Gateway"
"Skills Development Scotland","55.86","-4.26","Alhambra House, 45 Waterloo Street, Glasgow","G2 6HS","Privatisation, Welfare","Skills Development Scotland"
"Boston Disability Assessment Centre","52.98","-0.03","Crown Buildings, Lincoln Lane, Boston, Lincs","PE21 8SJ","Privatisation, Welfare","Boston Disability Assessment Centre"
"Cambridge Disability Assessment Centre","52.21","0.12","Henry Giles House, 1st Floor, 73-79 Chesterton Road, Cambridge","CB4 3BQ","Privatisation, Welfare","Cambridge Disability Assessment Centre"
